Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Fwd IAT Total,Bwd IAT Total,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length
1727337195.452631,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337195.452631,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337195.453376,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337195.863674,1,0,142,0,142,142,142.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337196.476580,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337196.476580,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337196.477317,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337198.564556,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337198.564802,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337198.564937,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337198.570284,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337198.574053,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337198.574053,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337200.500642,1,0,75,0,75,75,75.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337202.227494,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337202.227849,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337202.228092,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337202.232435,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337202.232730,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337202.232973,1,0,66,0,66,66,66.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337202.234436,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337202.234436,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337202.234436,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337202.234436,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337202.234436,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337202.305238,11,0,3888,0,1506,54,353.45454545454544,575.6310213385591,0,inf,0,[],0,0,0,0,0,0,0,220,0
1727337202.328540,18,0,7847,0,1506,54,435.94444444444446,596.1312994163206,0,inf,0,[],0,0,0,0,0,0,0,360,0
1727337202.333300,145,0,14438,0,1506,54,99.57241379310345,145.21515382487857,0,inf,0,[],0,0,0,0,0,0,0,2900,0
1727337202.362081,572,0,754581,0,1506,54,1319.1975524475524,453.1418954003577,0,inf,0,[],0,0,0,0,0,0,0,11440,0
1727337202.892065,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337202.892374,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337202.892616,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337202.893941,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337202.894209,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337202.894387,1,0,66,0,66,66,66.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337202.894987,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337202.894987,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337202.895262,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337202.899679,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337202.899679,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337203.048651,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337203.048945,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337203.049106,4,0,228,0,66,54,57.0,6.0,0,inf,0,[],0,0,0,0,0,0,0,80,0
1727337203.055130,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
